chapter_id,chapter,topic_id,topic,type,text,text_en,choice_a,choice_b,choice_c,choice_d,answer,person_name,person_role
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,summary,"Integer ialah nombor bulat yang mempunyai tanda positif atau negatif, termasuk sifar.","Integers are whole numbers with positive or negative signs, including zero.",,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,objective,Nilaikan (-1.5) × 0.4 + 2.1. / Evaluate (-1.5) × 0.4 + 2.1.,,,,,,"Jawapan / Answer: 1.5. Cara / Method: Susun titik perpuluhan, gunakan peraturan tanda dan kira dengan teliti. / Align decimal points, apply sign rules and calculate carefully. Oleh itu / Therefore: 1.5.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,objective,Cari nilai bagi -8.4 ÷ 2 + 1.2. / Find the value of -8.4 ÷ 2 + 1.2.,,,,,,"Jawapan / Answer: -3.0. Cara / Method: Susun titik perpuluhan, gunakan peraturan tanda dan kira dengan teliti. / Align decimal points, apply sign rules and calculate carefully. Oleh itu / Therefore: -3.0.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,summary,Nombor nisbah ialah nombor yang boleh ditulis dalam bentuk pecahan p/q (q ≠ 0).,Rational numbers can be written as a fraction p/q where p and q are integers and q ≠ 0.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,fact,Semua integer dan pecahan wajar/tak wajar ialah nombor nisbah.,All integers and proper/improper fractions are rational numbers.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,fact,Nombor perpuluhan berulang dan tamat tergolong dalam nombor nisbah.,Terminating and repeating decimals are rational numbers.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,person,Mengkaji nisbah dan konsep nombor dalam matematik asas.,Studied ratios and number concepts in foundational mathematics.,,,,,,Pythagoras,Ahli Matematik / Mathematician
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,multiple_choice,"Antara berikut, yang manakah BUKAN nombor nisbah? / Which of the following is NOT a rational number?",,π (pi),0.5,3/4,-2,"Jawapan / Answer: π (pi). Cara / Method: Tentukan sama ada nombor boleh ditulis sebagai p/q, dengan q bukan sifar. / Decide whether the number can be written as p/q, where q is not zero. Oleh itu / Therefore: π (pi).",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,multiple_choice,Tulis 0.75 dalam bentuk pecahan terkecil p/q. / Write 0.75 in simplest fraction form p/q.,,3/4,7/5,75/10,1/4,"Jawapan / Answer: 3/4. Cara / Method: Tentukan sama ada nombor boleh ditulis sebagai p/q, dengan q bukan sifar. / Decide whether the number can be written as p/q, where q is not zero. Oleh itu / Therefore: 3/4.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,multiple_choice,Nilaikan 1/2 + (-0.25). / Evaluate 1/2 + (-0.25).,,0.25,-0.25,0.75,-0.75,"Jawapan / Answer: 0.25. Cara / Method: Tentukan sama ada nombor boleh ditulis sebagai p/q, dengan q bukan sifar. / Decide whether the number can be written as p/q, where q is not zero. Oleh itu / Therefore: 0.25.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,multiple_choice,"Antara berikut, yang manakah menunjukkan nombor nisbah? / Which of the following shows a rational number?",,-3/5,√2,e,π,"Jawapan / Answer: -3/5. Cara / Method: Tentukan sama ada nombor boleh ditulis sebagai p/q, dengan q bukan sifar. / Decide whether the number can be written as p/q, where q is not zero. Oleh itu / Therefore: -3/5.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,multiple_choice,Hitung (-1 1/2) × 0.4. / Calculate (-1 1/2) × 0.4.,,-0.6,0.6,-0.4,1.2,"Jawapan / Answer: -0.6. Cara / Method: Tentukan sama ada nombor boleh ditulis sebagai p/q, dengan q bukan sifar. / Decide whether the number can be written as p/q, where q is not zero. Oleh itu / Therefore: -0.6.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,objective,Tuliskan -0.6 sebagai pecahan termudah p/q. / Write -0.6 as a simplest fraction p/q.,,,,,,"Jawapan / Answer: -3/5. Cara / Method: Tentukan sama ada nombor boleh ditulis sebagai p/q, dengan q bukan sifar. / Decide whether the number can be written as p/q, where q is not zero. Oleh itu / Therefore: -3/5.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-5-nombor-nisbah,1.5 Nombor Nisbah | 1.5 Rational Numbers,objective,Nilaikan (-3/4) ÷ 0.25. / Evaluate (-3/4) ÷ 0.25.,,,,,,"Jawapan / Answer: -3. Cara / Method: Tentukan sama ada nombor boleh ditulis sebagai p/q, dengan q bukan sifar. / Decide whether the number can be written as p/q, where q is not zero. Oleh itu / Therefore: -3.",,
bab2,Bab 2: Faktor dan Gandaan | Chapter 2: Factors and Multiples,2-1-faktor-fstb,"2.1 Faktor, Faktor Perdana dan Faktor Sepunya Terbesar (FSTB) | 2.1 Factors, Prime Factors and Highest Common Factor (HCF)",summary,"Faktor membahagi habis nombor tertentu, dan FSTB ialah faktor sepunya terbesar bagi beberapa nombor.","Factors divide a given number completely, and HCF is the highest common factor of numbers.",,,,,,,
bab2,Bab 2: Faktor dan Gandaan | Chapter 2: Factors and Multiples,2-1-faktor-fstb,"2.1 Faktor, Faktor Perdana dan Faktor Sepunya Terbesar (FSTB) | 2.1 Factors, Prime Factors and Highest Common Factor (HCF)",fact,Nombor perdana hanya mempunyai dua faktor iaitu 1 dan dirinya sendiri.,Prime numbers have exactly two factors: 1 and itself.,,,,,,,
bab2,Bab 2: Faktor dan Gandaan | Chapter 2: Factors and Multiples,2-1-faktor-fstb,"2.1 Faktor, Faktor Perdana dan Faktor Sepunya Terbesar (FSTB) | 2.1 Factors, Prime Factors and Highest Common Factor (HCF)",fact,FSTB boleh dicari melalui pemfaktoran perdana atau pembahagian berulang.,HCF can be found using prime factorization or repeated division.,,,,,,,
bab2,Bab 2: Faktor dan Gandaan | Chapter 2: Factors and Multiples,2-1-faktor-fstb,"2.1 Faktor, Faktor Perdana dan Faktor Sepunya Terbesar (FSTB) | 2.1 Factors, Prime Factors and Highest Common Factor (HCF)",person,Menyelidik sifat nombor perdana dan pembahaginya.,Investigated properties of prime numbers and their divisors.,,,,,,Euclid,Bapa Geometri / Father of Geometry
bab2,Bab 2: Faktor dan Gandaan | Chapter 2: Factors and Multiples,2-1-faktor-fstb,"2.1 Faktor, Faktor Perdana dan Faktor Sepunya Terbesar (FSTB) | 2.1 Factors, Prime Factors and Highest Common Factor (HCF)",multiple_choice,Berapakah Faktor Sepunya Terbesar (FSTB) bagi 12 dan 18? / What is the Highest Common Factor (HCF) of 12 and 18?,,6,3,2,36,Jawapan / Answer: 6. Cara / Method: Senaraikan faktor atau faktorkan kepada faktor perdana; pilih faktor sepunya terbesar. / List factors or prime-factorise; choose the greatest common factor. Oleh itu / Therefore: 6.,,
bab2,Bab 2: Faktor dan Gandaan | Chapter 2: Factors and Multiples,2-1-faktor-fstb,"2.1 Faktor, Faktor Perdana dan Faktor Sepunya Terbesar (FSTB) | 2.1 Factors, Prime Factors and Highest Common Factor (HCF)",multiple_choice,"Antara berikut, yang manakah nombor perdana? / Which of the following is a prime number?",,17,15,9,21,Jawapan / Answer: 17. Cara / Method: Senaraikan faktor atau faktorkan kepada faktor perdana; pilih faktor sepunya terbesar. / List factors or prime-factorise; choose the greatest common factor. Oleh itu / Therefore: 17.,,
