chapter_id,chapter,topic_id,topic,type,text,text_en,choice_a,choice_b,choice_c,choice_d,answer,person_name,person_role
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-2-respirasi-fotosintesis,2.2 Respirasi Sel dan Fotosintesis,summary,"Respirasi sel membebaskan tenaga daripada makanan, manakala fotosintesis menghasilkan glukosa dalam tumbuhan hijau.","Cellular respiration releases energy from food, while photosynthesis produces glucose in green plants.",,,,,,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-2-respirasi-fotosintesis,2.2 Respirasi Sel dan Fotosintesis,fact,"Fotosintesis memerlukan cahaya matahari, karbon dioksida, air dan klorofil; oksigen dibebaskan.","Photosynthesis requires sunlight, carbon dioxide, water and chlorophyll; oxygen is released.",,,,,,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-2-respirasi-fotosintesis,2.2 Respirasi Sel dan Fotosintesis,fact,Respirasi sel berlaku sepanjang masa dalam sel hidup dan menggunakan oksigen secara aerob.,Cellular respiration occurs continuously in living cells and uses oxygen aerobically.,,,,,,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-2-respirasi-fotosintesis,2.2 Respirasi Sel dan Fotosintesis,person,Memerhati ruang kecil dalam gabus dan menamakannya sel pada tahun 1665.,Observed tiny compartments in cork and named them cells in 1665.,,,,,,Robert Hooke,Saintis / Scientist
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-2-respirasi-fotosintesis,2.2 Respirasi Sel dan Fotosintesis,multiple_choice,Gas yang diperlukan untuk fotosintesis ialah / The gas required for photosynthesis is,,karbon dioksida / carbon dioxide,oksigen / oxygen,nitrogen / nitrogen,hidrogen / hydrogen,karbon dioksida / carbon dioxide,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-2-respirasi-fotosintesis,2.2 Respirasi Sel dan Fotosintesis,objective,Nyatakan dua hasil fotosintesis. / State two products of photosynthesis.,,,,,,Glukosa dan oksigen. / Glucose and oxygen.,,
bab3,Bab 3: Koordinasi dan Gerak Balas / Chapter 3: Coordination and Response,3-1-homeostasis,3.1 Homeostasis dalam Benda Hidup,summary,Homeostasis ialah pengawalaturan persekitaran dalaman supaya berada dalam julat yang sesuai.,Homeostasis is the regulation of the internal environment so that it remains within a suitable range.,,,,,,,
bab3,Bab 3: Koordinasi dan Gerak Balas / Chapter 3: Coordination and Response,3-1-homeostasis,3.1 Homeostasis dalam Benda Hidup,fact,Manusia berpeluh apabila panas untuk membantu menurunkan suhu badan.,Humans sweat when hot to help lower body temperature.,,,,,,,
bab3,Bab 3: Koordinasi dan Gerak Balas / Chapter 3: Coordination and Response,3-1-homeostasis,3.1 Homeostasis dalam Benda Hidup,fact,Tumbuhan mengawal kehilangan air melalui pembukaan dan penutupan stomata.,Plants control water loss through the opening and closing of stomata.,,,,,,,
bab3,Bab 3: Koordinasi dan Gerak Balas / Chapter 3: Coordination and Response,3-1-homeostasis,3.1 Homeostasis dalam Benda Hidup,person,Menjelaskan idea persekitaran dalaman yang stabil dalam organisma.,Explained the idea of a stable internal environment in organisms.,,,,,,Claude Bernard,Ahli fisiologi / Physiologist
bab3,Bab 3: Koordinasi dan Gerak Balas / Chapter 3: Coordination and Response,3-1-homeostasis,3.1 Homeostasis dalam Benda Hidup,multiple_choice,Apakah tindak balas manusia apabila suhu badan meningkat? / What is a human response when body temperature rises?,,Berpeluh / Sweating,Menggigil / Shivering,Menghasilkan kurang peluh / Producing less sweat,Mengecutkan salur darah kulit sahaja / Constricting skin blood vessels only,Berpeluh / Sweating,,
bab3,Bab 3: Koordinasi dan Gerak Balas / Chapter 3: Coordination and Response,3-1-homeostasis,3.1 Homeostasis dalam Benda Hidup,objective,Mengapakah homeostasis penting? / Why is homeostasis important?,,,,,,Ia mengekalkan keadaan dalaman yang sesuai untuk fungsi sel dan enzim. / It maintains suitable internal conditions for cell and enzyme function.,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-1-seks-aseks,4.1 Pembiakan Seks dan Aseks,summary,Pembiakan menghasilkan individu baharu dan memastikan kesinambungan spesies.,Reproduction produces new individuals and ensures continuity of a species.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-1-seks-aseks,4.1 Pembiakan Seks dan Aseks,fact,Pembiakan seks melibatkan gamet jantan dan betina serta menghasilkan variasi.,Sexual reproduction involves male and female gametes and produces variation.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-1-seks-aseks,4.1 Pembiakan Seks dan Aseks,fact,Pembiakan aseks melibatkan satu induk dan biasanya menghasilkan anak yang serupa secara genetik.,Asexual reproduction involves one parent and usually produces genetically similar offspring.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-1-seks-aseks,4.1 Pembiakan Seks dan Aseks,person,Menjalankan kajian tumbuhan kacang pea tentang pewarisan ciri.,Conducted pea-plant studies on inheritance of traits.,,,,,,Gregor Mendel,Ahli genetik / Geneticist
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-1-seks-aseks,4.1 Pembiakan Seks dan Aseks,multiple_choice,Yang manakah contoh pembiakan aseks? / Which is an example of asexual reproduction?,,Pembentukan tunas pada yis / Budding in yeast,Persenyawaan ovum oleh sperma / Fertilisation of an ovum by sperm,Pendebungaan bunga / Pollination of a flower,Percantuman gamet / Fusion of gametes,Pembentukan tunas pada yis / Budding in yeast,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-1-seks-aseks,4.1 Pembiakan Seks dan Aseks,objective,Nyatakan satu perbezaan antara pembiakan seks dan aseks. / State one difference between sexual and asexual reproduction.,,,,,,Seks melibatkan dua gamet dan menghasilkan variasi; aseks biasanya satu induk tanpa gamet. / Sexual involves two gametes and produces variation; asexual usually has one parent without gametes.,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-2-sistem-pembiakan,4.2 Sistem Pembiakan Manusia,summary,Sistem pembiakan manusia menghasilkan gamet dan membolehkan persenyawaan serta perkembangan bayi.,The human reproductive system produces gametes and enables fertilisation and development of a baby.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-2-sistem-pembiakan,4.2 Sistem Pembiakan Manusia,fact,"Testis menghasilkan sperma, manakala ovari menghasilkan ovum.","Testes produce sperm, while ovaries produce ova.",,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-2-sistem-pembiakan,4.2 Sistem Pembiakan Manusia,fact,Rahim ialah tempat fetus berkembang semasa kehamilan.,The uterus is where the fetus develops during pregnancy.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-2-sistem-pembiakan,4.2 Sistem Pembiakan Manusia,person,Menjalankan kajian tumbuhan kacang pea tentang pewarisan ciri.,Conducted pea-plant studies on inheritance of traits.,,,,,,Gregor Mendel,Ahli genetik / Geneticist
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-2-sistem-pembiakan,4.2 Sistem Pembiakan Manusia,multiple_choice,Organ yang menghasilkan ovum ialah / The organ that produces ova is the,,ovari / ovary,rahim / uterus,testis / testis,faraj / vagina,ovari / ovary,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-2-sistem-pembiakan,4.2 Sistem Pembiakan Manusia,objective,Apakah fungsi rahim? / What is the function of the uterus?,,,,,,Tempat implantasi dan perkembangan fetus. / The place for implantation and fetal development.,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-3-kitar-haid,4.3 Kitar Haid,summary,Kitar haid melibatkan perubahan pada ovari dan dinding rahim yang menyediakan tubuh untuk kehamilan.,The menstrual cycle involves changes in the ovaries and uterine lining that prepare the body for pregnancy.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-3-kitar-haid,4.3 Kitar Haid,fact,Ovulasi ialah pembebasan ovum matang daripada ovari.,Ovulation is the release of a mature ovum from an ovary.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-3-kitar-haid,4.3 Kitar Haid,fact,"Jika persenyawaan tidak berlaku, lapisan dinding rahim luruh sebagai haid.","If fertilisation does not occur, the uterine lining is shed as menstruation.",,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-3-kitar-haid,4.3 Kitar Haid,person,Menjalankan kajian tumbuhan kacang pea tentang pewarisan ciri.,Conducted pea-plant studies on inheritance of traits.,,,,,,Gregor Mendel,Ahli genetik / Geneticist
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-3-kitar-haid,4.3 Kitar Haid,multiple_choice,Apakah maksud ovulasi? / What is ovulation?,,Pembebasan ovum matang / Release of a mature ovum,Persenyawaan ovum / Fertilisation of an ovum,Implantasi embrio / Implantation of an embryo,Kelahiran bayi / Birth of a baby,Pembebasan ovum matang / Release of a mature ovum,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-3-kitar-haid,4.3 Kitar Haid,objective,Apakah berlaku jika ovum tidak disenyawakan? / What happens if an ovum is not fertilised?,,,,,,Dinding rahim luruh dan haid berlaku. / The uterine lining is shed and menstruation occurs.,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-4-persenyawaan-kehamilan,4.4 Persenyawaan dan Kehamilan,summary,Persenyawaan berlaku apabila satu sperma bercantum dengan satu ovum untuk membentuk zigot.,Fertilisation occurs when one sperm fuses with one ovum to form a zygote.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-4-persenyawaan-kehamilan,4.4 Persenyawaan dan Kehamilan,fact,"Zigot membahagi menjadi embrio, kemudian fetus yang berkembang di dalam rahim.","The zygote divides into an embryo, then a fetus that develops in the uterus.",,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-4-persenyawaan-kehamilan,4.4 Persenyawaan dan Kehamilan,fact,Plasenta membekalkan oksigen dan nutrien kepada fetus serta menyingkirkan bahan kumuh.,The placenta supplies oxygen and nutrients to the fetus and removes wastes.,,,,,,,
bab4,Bab 4: Pembiakan / Chapter 4: Reproduction,4-4-persenyawaan-kehamilan,4.4 Persenyawaan dan Kehamilan,person,Menjalankan kajian tumbuhan kacang pea tentang pewarisan ciri.,Conducted pea-plant studies on inheritance of traits.,,,,,,Gregor Mendel,Ahli genetik / Geneticist
