chapter_id,chapter,topic_id,topic,type,text,text_en,choice_a,choice_b,choice_c,choice_d,answer,person_name,person_role
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,multiple_choice,Mengapa definisi sejarah berbeza antara sejarawan? / Why do definitions of history vary among historians?,,Kerana setiap sejarawan menggunakan perspektif dan bukti yang berbeza. / Because each historian uses different perspectives and evidence.,Kerana sejarah tidak penting. / Because history is not important.,Kerana semua orang bergurau. / Because everyone is joking.,Kerana ia bergantung pada cuaca. / Because it depends on the weather.,Kerana setiap sejarawan menggunakan perspektif dan bukti yang berbeza. / Because each historian uses different perspectives and evidence.,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,objective,Berikan satu contoh bukti yang boleh mengubah tafsiran sejarah. / Give one example of evidence that can change historical interpretation.,,,,,,Penemuan dokumen baru atau artifak arkeologi boleh mengubah cara sejarawan mentafsir peristiwa lalu. / The discovery of a new document or archaeological artifact can change how historians interpret past events.,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,summary,"Topik ini menerangkan konsep masa dan ruang dalam sejarah, iaitu bagaimana peristiwa berlaku dalam konteks waktu dan tempat tertentu.","This topic explains the concepts of time and space in history, meaning how events occur within a specific time and place.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,fact,Masa merujuk kepada jangka waktu di mana peristiwa berlaku.,Time refers to the period during which events happen.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,fact,Ruang merujuk kepada lokasi atau tempat di mana peristiwa berlaku.,Space refers to the location or place where events occur.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,fact,Analisis sejarah memerlukan pemahaman tentang hubungan antara masa dan ruang.,Historical analysis requires understanding the relationship between time and space.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,fact,Sejarah boleh menunjukkan perubahan dalam masyarakat pada waktu dan tempat tertentu.,History can show changes in society at particular times and places.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,fact,Peristiwa sejarah mesti ditempatkan dalam konteks masa dan ruang yang betul.,Historical events must be placed in the correct time and space context.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,multiple_choice,Apakah maksud ruang dalam sejarah? / What does space mean in history?,,Tempat atau lokasi di mana peristiwa berlaku. / The place or location where events occur.,Masa yang lalu. / The past time.,Alat muzik. / Musical instruments.,Jenis makanan. / Types of food.,Tempat atau lokasi di mana peristiwa berlaku. / The place or location where events occur.,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,multiple_choice,Apakah yang ditunjukkan oleh konsep masa dalam sejarah? / What does the concept of time in history show?,,Perubahan dalam masyarakat dan peristiwa sepanjang tempoh tertentu. / Changes in society and events over a certain period.,Jenis pakaian sahaja. / Only types of clothing.,Tumbuhan sahaja. / Only plants.,Haiwan sahaja. / Only animals.,Perubahan dalam masyarakat dan peristiwa sepanjang tempoh tertentu. / Changes in society and events over a certain period.,,
bab1,Bab 1: Mengenali Sejarah,1-3-masa-silam-ruang,1.3 Masa Silam dan Ruang dalam Sejarah,objective,Nyatakan maksud ruang dalam sejarah dalam satu ayat. / State the meaning of space in history in one sentence.,,,,,,Ruang dalam sejarah merujuk kepada lokasi atau tempat di mana peristiwa berlaku. / Space in history refers to the location or place where events occur.,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,summary,"Topik ini membincangkan jenis sumber sejarah seperti sumber bertulis, lisan, dan artifak yang membantu kita memahami masa lalu.","This topic discusses types of historical sources such as written, oral, and artifact sources that help us understand the past.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,fact,Sumber sejarah adalah bahan yang memberi maklumat tentang masa lalu.,Historical sources are materials that provide information about the past.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,fact,"Sumber primer ialah bahan asal yang dibuat semasa peristiwa berlaku, seperti dokumen rasmi, surat, atau artifak.","Primary sources are original materials created during the event, such as official documents, letters, or artifacts.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,fact,"Sumber sekunder ialah kajian atau ulasan tentang masa lalu yang ditulis kemudian, seperti buku sejarah dan artikel.","Secondary sources are studies or reviews of the past written later, such as history books or articles.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,fact,"Sumber bertulis, lisan, dan artifak boleh menjadi primer atau sekunder bergantung pada bagaimana ia digunakan.","Written, oral, and artifact sources can be primary or secondary depending on how they are used.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,fact,Ahli sejarah mengutamakan sumber primer untuk bukti langsung dan menggunakan sumber sekunder untuk konteks dan tafsiran.,Historians prioritize primary sources for direct evidence and use secondary sources for context and interpretation.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,person,Dikenali sebagai bapa sejarah Barat kerana menulis tentang Perang Parsi dan mengumpul sumber dari banyak tempat.,Known as the father of Western history for writing about the Persian Wars and collecting sources from many places.,,,,,,Herodotus,Sejarawan Yunani
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,multiple_choice,Apakah contoh sumber lisan? / What is an example of an oral source?,,Wawancara dan cerita rakyat. / Interviews and folk tales.,Gambar moden. / Modern pictures.,Surat rasmi. / Official letters.,Basikal. / Bicycle.,Wawancara dan cerita rakyat. / Interviews and folk tales.,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,multiple_choice,Mengapakah artifak penting sebagai sumber sejarah? / Why are artifacts important as historical sources?,,Kerana ia menunjukkan cara hidup dan budaya masyarakat dahulu. / Because it shows how people lived and their culture.,Kerana ia membuat makanan. / Because it makes food.,Kerana ia menari. / Because it dances.,Kerana ia mengajar sains. / Because it teaches science.,Kerana ia menunjukkan cara hidup dan budaya masyarakat dahulu. / Because it shows how people lived and their culture.,,
bab1,Bab 1: Mengenali Sejarah,1-4-sumber-sejarah,1.4 Sumber Sejarah,objective,Apakah perbezaan utama antara sumber bertulis dan sumber lisan? / What is the main difference between written sources and oral sources?,,,,,,"Sumber bertulis direkodkan dalam bentuk dokumen, manakala sumber lisan disampaikan melalui cerita atau ucapan. / Written sources are recorded in documents, while oral sources are delivered through stories or speech.",,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,summary,"Topik ini menjelaskan kaedah penyelidikan sejarah seperti kaedah bertulis, kaedah lisan, dan kaedah arkeologi untuk mengumpulkan maklumat tentang masa lalu.","This topic explains historical research methods like written, oral, and archaeological methods for gathering information about the past.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,fact,Penyelidikan sejarah menggunakan dokumen bertulis untuk mencari bukti masa lalu.,Historical research uses written documents to find evidence of the past.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,fact,Kaedah lisan melibatkan wawancara dan cerita tradisi.,Oral methods involve interviews and traditional stories.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,fact,Kaedah arkeologi menganalisis artifak dan struktur yang ditemui.,Archaeological methods analyze artifacts and structures that are found.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,fact,Gabungan beberapa kaedah membantu menghasilkan kajian sejarah yang lebih lengkap.,Combining several methods helps produce more complete historical research.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,fact,Penyelidikan sejarah memerlukan ketelitian dalam menilai kesahihan sumber.,Historical research requires care in assessing the validity of sources.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,multiple_choice,Apakah kaedah penyelidikan yang menggunakan artifak? / Which research method uses artifacts?,,Kaedah arkeologi. / Archaeological method.,Kaedah lisan. / Oral method.,Kaedah bertulis. / Written method.,Kaedah sains. / Science method.,Kaedah arkeologi. / Archaeological method.,,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,multiple_choice,Apakah tujuan kaedah bertulis dalam sejarah? / What is the purpose of written methods in history?,,Untuk menggunakan dokumen dan rekod sebagai bukti. / To use documents and records as evidence.,Untuk bermain permainan. / To play games.,Untuk menyanyi. / To sing.,Untuk melukis. / To paint.,Untuk menggunakan dokumen dan rekod sebagai bukti. / To use documents and records as evidence.,,
bab1,Bab 1: Mengenali Sejarah,1-5-penyelidikan-dalam-sejarah,1.5 Penyelidikan dalam Sejarah,objective,Mengapa kaedah arkeologi penting dalam penyelidikan sejarah? / Why is the archaeological method important in historical research?,,,,,,Kerana ia membolehkan ahli sejarah menemui bukti fizikal daripada masa lalu yang tidak terdapat dalam dokumen bertulis. / Because it allows historians to find physical evidence from the past that is not available in written documents.,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,summary,"Topik ini menerangkan bentuk fizikal Bumi, kawasan daratan, lautan, dan bagaimana alam sekitar membentuk kehidupan manusia.","This topic explains the physical form of Earth, land areas, seas, and how the environment shapes human life.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,fact,"Bumi terdiri daripada kawasan daratan, lautan, gunung, dan kawasan sejuk.","Earth consists of land, oceans, mountains, and cold regions.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,fact,"Pembentukan fizikal Bumi mempengaruhi taburan haiwan, tumbuhan, dan manusia.","Earth's physical formation affects the distribution of animals, plants, and humans.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,fact,Lautan dan daratan menjadi penanda arah pergerakan manusia dan perdagangan.,Oceans and land became routes for movement and trade.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,fact,Perubahan bentuk muka bumi menghasilkan perbezaan iklim dan sumber makanan.,Changes in the landscape created differences in climate and food sources.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,fact,Pengetahuan tentang dunia membantu kita memahami perubahan alam sekitar.,Knowledge about the world helps us understand environmental change.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,multiple_choice,Apakah dua unsur utama yang membentuk permukaan Bumi? / What are the two main elements that shape the surface of Earth?,,Daratan dan lautan. / Land and oceans.,Awan dan hujan. / Clouds and rain.,Rumah dan jalan raya. / Houses and roads.,Kertas dan pensel. / Paper and pencils.,Daratan dan lautan. / Land and oceans.,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,multiple_choice,Mengapakah bentuk fizikal Bumi penting dalam sejarah? / Why is the physical form of Earth important in history?,,Kerana ia mempengaruhi kehidupan manusia dan taburan sumber. / Because it affects human life and resource distribution.,Kerana ia melibatkan permainan komputer. / Because it involves computer games.,Kerana ia hanya untuk ilmu geografi moden. / Because it is only for modern geography.,Kerana ia tidak memberi kesan apa-apa. / Because it has no effect.,Kerana ia mempengaruhi kehidupan manusia dan taburan sumber. / Because it affects human life and resource distribution.,,
bab2,Bab 2: Zaman Air Batu,2-1-dunia-kita,2.1 Dunia Kita,objective,Nyatakan satu sebab mengapa lautan penting dalam kehidupan manusia. / State one reason why oceans are important to human life.,,,,,,"Lautan menyediakan laluan pergerakan, sumber makanan, dan penghubung antara kawasan. / Oceans provide routes of movement, food sources, and links between regions.",,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,summary,"Topik ini menerangkan konsep zaman air batu, iaitu tempoh ketika suhu Bumi menjadi lebih sejuk dan kawasan besar dilitupi ais.","This topic explains the concept of the Ice Age, a period when Earth's temperature became colder and large areas were covered by ice.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,fact,Zaman air batu ialah tempoh cuaca sejuk yang meliputi kawasan besar di Bumi.,The Ice Age was a period of cold weather that covered large areas of Earth.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,fact,"Semasa zaman air batu, banyak kawasan yang kini panas menjadi sejuk dan dilitupi ais.","During the Ice Age, many areas that are now warm became cold and covered with ice.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,fact,Kitaran perubahan suhu menyebabkan zon ais berkembang dan surut secara berulang.,Cycles of temperature change caused ice zones to expand and shrink repeatedly.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,fact,"Perubahan suhu ini memberi kesan besar kepada tumbuhan, haiwan, dan manusia.","These temperature changes had major effects on plants, animals, and humans.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,fact,"Zaman air batu membentuk landskap, sungai, dan bentuk muka bumi yang kita lihat hari ini.","The Ice Age shaped landscapes, rivers, and landforms that we see today.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,multiple_choice,Apakah yang dimaksudkan dengan zaman air batu? / What is meant by the Ice Age?,,Tempoh cuaca sejuk yang meliputi kawasan besar. / A period of cold weather covering large areas.,Tempoh cuaca panas yang berterusan. / A continuous hot weather period.,Tempoh hujan yang sangat lebat. / A period of very heavy rain.,Tempoh banjir besar. / A period of major flooding.,Tempoh cuaca sejuk yang meliputi kawasan besar. / A period of cold weather covering large areas.,,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,multiple_choice,Mengapakah zaman air batu penting dalam sejarah alam sekitar? / Why is the Ice Age important in environmental history?,,Kerana ia mengubah landskap dan taburan hidupan. / Because it changed landscapes and the distribution of life.,Kerana ia membina bangunan moden. / Because it built modern buildings.,Kerana ia menghasilkan elektrik. / Because it produced electricity.,Kerana ia tidak memberi kesan. / Because it had no impact.,Kerana ia mengubah landskap dan taburan hidupan. / Because it changed landscapes and the distribution of life.,,
bab2,Bab 2: Zaman Air Batu,2-2-zaman-air-batu,2.2 Zaman Air Batu,objective,Nyatakan satu kesan zaman air batu terhadap alam sekitar. / State one effect of the Ice Age on the environment.,,,,,,Ia menyebabkan kawasan besar dilitupi ais dan mengubah bentuk muka bumi. / It caused large areas to be covered with ice and changed the landforms.,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,summary,Topik ini menerangkan garis masa zaman air batu dan perubahan suhu yang berlaku secara berperingkat.,This topic explains the timeline of the Ice Age and the gradual changes in temperature that took place.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,fact,Garis masa menunjukkan perubahan suhu dari masa ke masa.,The timeline shows changes in temperature over time.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,fact,"Pada tahap tertentu, suhu menurun lalu ais berkembang di kawasan tertentu.","At certain points, temperatures dropped and ice expanded in some regions.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,fact,"Pada tahap lain, suhu meningkat lalu ais mula surut.","At other points, temperatures rose and ice began to retreat.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,fact,Perubahan ini berlaku berulang dan mengambil masa yang sangat lama.,These changes occurred repeatedly over a very long period.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,fact,Garis masa membantu kita memahami urutan perubahan geografi dan iklim.,The timeline helps us understand the sequence of geographic and climatic changes.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,multiple_choice,Mengapakah garis masa penting dalam mempelajari zaman air batu? / Why is a timeline important in studying the Ice Age?,,Kerana ia membantu melihat urutan perubahan secara berperingkat. / Because it helps show the sequence of changes step by step.,Kerana ia hanya menunjukkan tarikh moden. / Because it only shows modern dates.,Kerana ia tidak mempunyai kaitan. / Because it is irrelevant.,Kerana ia hanya untuk matematik. / Because it is only for mathematics.,Kerana ia membantu melihat urutan perubahan secara berperingkat. / Because it helps show the sequence of changes step by step.,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,multiple_choice,Apakah yang berlaku apabila suhu menurun? / What happens when temperatures drop?,,Ais berkembang di kawasan tertentu. / Ice expands in some areas.,Lautan menjadi kering sepenuhnya. / The oceans dry up completely.,Semua kawasan menjadi panas. / All regions become hot.,Hutan tumbuh dengan cepat. / Forests grow quickly.,Ais berkembang di kawasan tertentu. / Ice expands in some areas.,,
bab2,Bab 2: Zaman Air Batu,2-3-garis-masa-zaman-air-batu,2.3 Garis Masa Zaman Air Batu,objective,Nyatakan satu perubahan yang dapat dilihat dalam garis masa zaman air batu. / State one change that can be seen in the Ice Age timeline.,,,,,,Suhu berubah secara berulang dan menyebabkan ais berkembang serta surut. / Temperature changed repeatedly and caused ice to expand and retreat.,,
bab2,Bab 2: Zaman Air Batu,2-4-ciri-ciri-zaman-air-batu-akhir,2.4 Ciri-ciri Zaman Air Batu Akhir,summary,"Topik ini membincangkan ciri-ciri utama zaman air batu akhir, termasuk kawasan ais, tumbuhan sejuk, dan perubahan cuaca yang ketara.","This topic discusses the main features of the late Ice Age, including ice-covered areas, cold plants, and significant weather changes.",,,,,,,
bab2,Bab 2: Zaman Air Batu,2-4-ciri-ciri-zaman-air-batu-akhir,2.4 Ciri-ciri Zaman Air Batu Akhir,fact,Zaman air batu akhir ditandai dengan kawasan ais yang luas dan suhu yang sangat sejuk.,The late Ice Age was marked by vast ice-covered regions and very cold temperatures.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-4-ciri-ciri-zaman-air-batu-akhir,2.4 Ciri-ciri Zaman Air Batu Akhir,fact,Tumbuhan yang tahan sejuk lebih dominan di kawasan tertentu.,Cold-tolerant plants became more dominant in some areas.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-4-ciri-ciri-zaman-air-batu-akhir,2.4 Ciri-ciri Zaman Air Batu Akhir,fact,Haiwan seperti mamalia besar dapat bertahan di kawasan sejuk.,Animals such as large mammals could survive in cold regions.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-4-ciri-ciri-zaman-air-batu-akhir,2.4 Ciri-ciri Zaman Air Batu Akhir,fact,Bentuk muka bumi berubah akibat hakisan dan pemendapan ais.,The landscape changed due to erosion and deposition by ice.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-4-ciri-ciri-zaman-air-batu-akhir,2.4 Ciri-ciri Zaman Air Batu Akhir,fact,Kawasan yang kini subur mungkin berubah menjadi tundra atau padang sejuk.,Areas that are now fertile may have become tundra or cold grasslands.,,,,,,,
bab2,Bab 2: Zaman Air Batu,2-4-ciri-ciri-zaman-air-batu-akhir,2.4 Ciri-ciri Zaman Air Batu Akhir,multiple_choice,Apakah ciri utama zaman air batu akhir? / What was a main feature of the late Ice Age?,,Suhu yang sangat sejuk dan kawasan ais yang luas. / Very cold temperatures and extensive ice coverage.,Suhu panas sepanjang masa. / Constant hot temperatures.,Lautan yang sangat kecil. / Very small oceans.,Hutan tropika yang sangat tebal. / Very thick tropical forests.,Suhu yang sangat sejuk dan kawasan ais yang luas. / Very cold temperatures and extensive ice coverage.,,
bab2,Bab 2: Zaman Air Batu,2-4-ciri-ciri-zaman-air-batu-akhir,2.4 Ciri-ciri Zaman Air Batu Akhir,multiple_choice,Mengapakah tumbuhan sejuk penting semasa zaman air batu akhir? / Why were cold plants important during the late Ice Age?,,Kerana ia membantu menyesuaikan ekosistem dengan cuaca sejuk. / Because they helped ecosystems adapt to cold weather.,Kerana ia menghalang semua haiwan hidup. / Because they prevented all animals from living.,Kerana ia menjadikan kawasan lebih panas. / Because they made areas hotter.,Kerana ia tidak mempunyai sebarang fungsi. / Because they had no function.,Kerana ia membantu menyesuaikan ekosistem dengan cuaca sejuk. / Because they helped ecosystems adapt to cold weather.,,
